gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	4	1	2	0.22763535722678727	2.221432878495641	3396	21033	0	1	0.1490999930261765	6.193501130014208
IGH	536624	2442368	7060	1551	3357	0.0	2.1643335414707328	148673	1172633	606	2224	0.0	3.6738269388725184
CIITA	144169	591929	63	15	22	0.0953727179731107	1.433772889140204	39813	283792	5	7	0.3756810850025708	1.3485655282783469
BCL2	541453	2396782	53	12	12	0.885378950503537	1.0022432663859826	148332	957484	4	2	0.5958544570054649	0.5613047510052255
IGK	497023	2473268	1123	226	368	3.4364429075869767e-18	1.6306691820870325	136386	912989	74	188	1.520022180734098e-28	2.5373535980230755
IGL	696704	2896958	2759	664	992	1.5435501130282628e-32	1.4950612511533206	192458	1407056	200	544	1.2366164501805785e-89	2.7260791049818063
RFTN1	515973	2200452	26	6	6	1.0	0.9841534595950453	141616	893152	2	1	0.7323602396100171	0.4504897588606895
BCL6	725688	3169294	766	175	255	1.6831317121651347e-08	1.4538687060688051	199287	1276426	70	150	9.711997819931394e-17	2.139764329748585
MYC	1111050	4811436	1646	380	457	0.00013119071281889662	1.2023425878017986	305142	1963027	147	232	7.334676165439895e-11	1.5827182714616956
PAX5	604495	2524874	602	144	218	1.0196016120294212e-08	1.5125450768456508	166429	1119021	52	134	1.6370426337486668e-21	2.5816297678732236
